"","key","section","Question1_Part1","Question1_Part3","Question1_Part4","Question2_Part2","Question3_Part1","Question3_Part1_7_TEXT","Question3_Part2","Question3_Part3","Question3_Part3_6_TEXT","Question3_Part4_1","Question3_Part5_1","Question3_Part6","Question3_Part7","Question4_Part1_1","Question4_Part1_2","Question4_Part1_3","Question4_Part1_4","Question4_Part1_5","Question4_Part1_6","Question5_Part1_1","Question5_Part1_2","Question5_Part1_3","Question5_Part1_4","Question5_Part1_5","Question5_Part1_6","Question6_Part1_1","Question6_Part1_2","Question6_Part1_3","Question6_Part1_4","Question6_Part1_5","Question6_Part2_1","Question6_Part2_2","Question6_Part2_3","Question6_Part2_4","Question6_Part2_5","Question6_Part2_6","Question6_Part2_7","Question6_Part2_8","Question6_Part2_9","Question6_Part3_1","Question6_Part3_2","Question6_Part3_3","Question6_Part3_4","Question7_Part1_1","Question7_Part1_2","Question7_Part1_3","Question7_Part1_4","Question7_Part2_1","Question7_Part2_2","Question7_Part2_3","Question7_Part2_4","Question7_Part3_1","Question7_Part3_2","Question7_Part3_3","Question7_Part3_4","Question7_Part3_5","Question7_Part3_6","Question7_Part4_1","Question7_Part4_2","Question7_Part4_3","Question7_Part4_4","Question7_Part4_5","Question7_Part4_6","Question7_Part4_7"
"46","mauvelous-lettuce",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,It helped build my computer science skills for my other interests","","","First Year","","I lean towards NOT Declaring a CS Major","I might or might not declare a CS Minor","Quantitative Economics","Global Finance","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Sometimes","Always","Sometimes","Always","Always","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Less than 1 hour","Between 1 and 2 hours","Between 1 and 5 hours","Between 1 and 2 hours","Strongly agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree"
"47","orchid-caraway",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,My parents encouraged me to","","Took other AP courses","Sophomore","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","SOC","SDS","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Often","Sometimes","Always","Sometimes","Always","Strongly agree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Between 1 and 2 hours","Less than 1 hour","Between 1 and 2 hours","Less than 1 hour","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat disagree"
"48","orchid-elderberry",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science","","Took other AP courses","First Year","","I lean towards NOT Declaring a CS Major","I am sure that I will NOT Declare a CS Minor",NA,NA,"Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Rarely","Often","Sometimes","Sometimes","Sometimes","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly disagree","Somewhat agree","Between 1 and 5 hours","Between 1 and 5 hours","Between 1 and 5 hours","Between 1 and 5 hours","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree"
"49","razzmatazz-courgette",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","","Junior","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Chemistry","","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Sometimes","Often","Often","Sometimes","Sometimes","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Between 1 and 2 hours","Between 1 and 5 hours","Between 1 and 2 hours","Between 1 and 5 hours","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree"
"50","sepia-habanero",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science,It helped build my computer science skills for my other interests","","Learned a computer programming language on my own,Engaged in software or hardware related projects","First Year","","I lean towards NOT Declaring a CS Major","I might or might not declare a CS Minor",NA,NA,"Somewhat disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Always","Always","Often","Always","Often","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Between 1 and 5 hours","Less than 1 hour","Between 1 and 5 hours","Between 1 and 2 hours","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree"
"51","shadow-cantaloupe",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","","First Year","","I am sure that I will NOT Declare a CS Major","I lean towards NOT Declaring a CS Minor","Engineering",NA,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Often","Always","Always","Always","Always","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Between 5 and 10 hours","Between 1 and 2 hours","Between 1 and 5 hours","Between 1 and 5 hours","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly disagree","Somewhat agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree"
"52","shamrock-rosemary",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,It helped build my computer science skills for my other interests","","Took AP Calculus AB,Took other AP courses,Took other dual enrollment courses","Junior","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Biological Sciences","second major: Statistics and Data Science","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Strongly agree","Strongly agree","Rarely","Always","Always","Always","Often","Somewhat agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly agree","Between 1 and 5 hours","Less than 1 hour","Between 1 and 5 hours","Less than 1 hour","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree"
"53","silver-courgette",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science,My parents encouraged me to,A teacher or other mentor encouraged me to","","Took AP Calculus AB","First Year","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor",NA,NA,"Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Sometimes","Always","Often","Always","Always","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Between 1 and 2 hours","Between 1 and 2 hours","Between 1 and 5 hours","Between 1 and 2 hours","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree"
"54","sunglow-grape",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor","","Took AP Calculus AB,Took AP Calculus BC","Junior","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","SDS","Government","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Sometimes","Often","Rarely","Sometimes","Sometimes","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Between 1 and 5 hours","Between 1 and 2 hours","Between 1 and 2 hours","Less than 1 hour","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat disagree"
"55","tan-pomegranate",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science,My parents encouraged me to,A teacher or other mentor encouraged me to,It helped build my computer science skills for my other interests","","Took a computer science or programming course not associated with AP or dual enrollment,Attended a workshop or other training in computer science (e.g., through your local library, community center, etc.)","Sophomore","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Biological Sciences","Statistical and Data Sciences","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly disagree","Somewhat agree","Strongly agree","Sometimes","Always","Sometimes","Always","Sometimes","Somewhat disagree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Strongly agree","Between 1 and 5 hours","Between 1 and 5 hours","Between 1 and 5 hours","Between 1 and 5 hours","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree"
"56","timberwolf-rosemary",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","Took AP Calculus AB,Took AP Calculus BC,Took other AP courses","Senior","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Government","","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Somewhat disagree","Somewhat agree","Often","Always","Sometimes","Often","Always","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly agree","Between 1 and 5 hours","Between 1 and 2 hours","Between 5 and 10 hours","Less than 1 hour","Somewhat disagree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly disagree"
"57","violet-jackfruit",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","Took part in student groups related to computer science,Attended a workshop or other training in computer science (e.g., through your local library, community center, etc.)","First Year","","I am sure that I will NOT Declare a CS Major","I might or might not declare a CS Minor","Biology","Studio art","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat agree","Rarely","Always","Often","Often","Always","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Between 1 and 5 hours","Less than 1 hour","Between 1 and 5 hours","Less than 1 hour","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly disagree"
"58","yellow-clementine",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","Took AP Calculus BC","First Year","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor",NA,NA,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Often","Always","Sometimes","Often","Often","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Between 1 and 2 hours","Less than 1 hour","Between 1 and 2 hours","Less than 1 hour","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree"
"59","yellow-nut",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","","First Year","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor",NA,NA,"Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly agree","Rarely","Sometimes","Always","Sometimes","Never","Strongly disagree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Strongly agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Between 1 and 5 hours","Less than 1 hour","Between 1 and 5 hours","Less than 1 hour","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree"
"60","blush-frisee",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61","brown-jambul",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science,It helped build my computer science skills for my other interests","","Took AP Calculus AB,Took AP Calculus BC","Junior","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Mathematical Sciences","Jewish studies minor and archives concentration","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly disagree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Less than 1 hour","Less than 1 hour","Less than 1 hour","Less than 1 hour","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree"
"62","lavender-turnip",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","","Senior","","I lean towards Declaring a CS Major","I might or might not declare a CS Minor","Economics",NA,"Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Often","Always","Always","Always","Often","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Between 1 and 5 hours","Between 1 and 5 hours","Between 1 and 5 hours","Between 1 and 5 hours","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"63","magenta-pear",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It helped build my computer science skills for my other interests","","Took AP Calculus AB,Took AP Calculus BC,Took other AP courses,Took other dual enrollment courses","Sophomore","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Mathematical Statistics","Government","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Somewhat disagree","Strongly disagree","Strongly agree","Strongly agree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64","orange-cherry",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Other (specify in the text area)","I took this class in place of a major requirement","","Ada Comstock","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","American Studies","Archives Concentration","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Never","Always","Always","Often","Sometimes","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly disagree","Between 5 and 10 hours","Between 1 and 5 hours","More than 10 hours","Between 1 and 5 hours","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Somewhat agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree"
"65","periwinkle-mulberry",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science,My parents encouraged me to,It helped build my computer science skills for my other interests","","Took a computer science or programming course not associated with AP or dual enrollment","First Year","","I lean towards NOT Declaring a CS Major","I lean towards NOT Declaring a CS Minor",NA,NA,"Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly disagree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly agree","Somewhat agree","Never","Often","Always","Rarely","Never","Somewhat disagree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Between 1 and 5 hours","Between 1 and 2 hours","Less than 1 hour","Between 1 and 2 hours","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree"
"66","tumbleweed-mulberry",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science,My parents encouraged me to,It helped build my computer science skills for my other interests","","Took AP Calculus AB,Took other AP courses","First Year","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","prospective EALC or Asian American studies (if possible); China concentration","prospective studio art minor","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67","white-nopale",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","A teacher or other mentor encouraged me to,Other (specify in the text area)","useful for STRIDE project","Took AP Calculus AB,Took other AP courses,Took other dual enrollment courses","First Year","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Chemistry","Classical Studies","Somewhat disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly disagree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Sometimes","Always","Always","Often","Sometimes","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Between 1 and 2 hours","Between 1 and 2 hours","Between 1 and 2 hours","Less than 1 hour","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree"
