"","key","section","Question1_Part1","Question1_Part3","Question1_Part4","Question2_Part2","Question3_Part1","Question3_Part1_7_TEXT","Question3_Part2","Question3_Part3","Question3_Part3_6_TEXT","Question3_Part4_1","Question3_Part5_1","Question3_Part6","Question3_Part7","Question4_Part1_1","Question4_Part1_2","Question4_Part1_3","Question4_Part1_4","Question4_Part1_5","Question4_Part1_6","Question4_Part1_7","Question4_Part1_8","Question5_Part1_1","Question5_Part1_2","Question5_Part1_3","Question5_Part1_4","Question5_Part1_5","Question5_Part1_6","Question5_Part1_7","Question6_Part1_1","Question6_Part1_2","Question6_Part1_3","Question6_Part1_4","Question6_Part2_1","Question6_Part2_2","Question6_Part2_3","Question6_Part2_4","Question6_Part2_5","Question6_Part2_6","Question6_Part2_7","Question6_Part2_8","Question6_Part2_9","Question6_Part2_10","Question6_Part3_1","Question6_Part3_2","Question6_Part3_3","Question6_Part3_4","Question7_Part1_1","Question7_Part1_2","Question7_Part1_3","Question7_Part1_4","Question7_Part2_1","Question7_Part2_2","Question7_Part2_3","Question7_Part2_4","Question7_Part3_1","Question7_Part3_2","Question7_Part3_3","Question7_Part3_4","Question7_Part3_5","Question7_Part3_6"
"48","mahogany-avocado",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science,My parents encouraged me to","","Took a computer science or programming course not associated with AP or dual enrollment,Engaged in software or hardware related projects","First Year","","I lean towards Declaring a CS Major","I lean towards NOT Declaring a CS Minor",NA,NA,"Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Sometimes","Often","Often","Sometimes","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly disagree","Somewhat agree","Between 1 and 5 hours","Less than 1 hour","Between 1 and 5 hours","Less than 1 hour","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree"
"49","mauvelous-lettuce",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science","","","First Year","","I might or might not declare a CS major","I lean towards Declaring a CS Minor","Quant Econ","Global Finance","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Sometimes","Always","Always","Always","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Between 1 and 5 hours","Between 1 and 2 hours","Between 1 and 5 hours","Between 1 and 2 hours","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree"
"50","orchid-caraway",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science,My parents encouraged me to","","Took other AP courses","Sophomore","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Sociology","Statistical and Data Sciences major","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Often","Sometimes","Always","Sometimes","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Between 5 and 10 hours","Between 1 and 2 hours","More than 10 hours","Between 1 and 2 hours","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree"
"51","orchid-elderberry",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science,It helped build my computer science skills for my other interests","","","First Year","","I might or might not declare a CS major","I might or might not declare a CS Minor",NA,NA,"Somewhat disagree","Neither agree nor disagree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Sometimes","Sometimes","Often","Rarely","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Between 1 and 5 hours","Between 1 and 2 hours","Between 5 and 10 hours","Between 1 and 2 hours","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly agree"
"52","razzmatazz-courgette",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","","Junior","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Chemistry","","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Sometimes","Sometimes","Sometimes","Sometimes","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Between 1 and 5 hours","Between 1 and 2 hours","Between 1 and 5 hours","Between 1 and 5 hours","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"53","sepia-habanero",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science,It helped build my computer science skills for my other interests","","Took a computer science or programming course not associated with AP or dual enrollment,Learned a computer programming language on my own,Engaged in software or hardware related projects","First Year","","I lean towards NOT Declaring a CS Major","I might or might not declare a CS Minor","Bioscience",NA,"Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Sometimes","Often","Often","Often","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Between 1 and 5 hours","Between 1 and 2 hours","Between 5 and 10 hours","Between 1 and 2 hours","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree"
"54","shadow-cantaloupe",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","","First Year","","I might or might not declare a CS major","I lean towards NOT Declaring a CS Minor","Engineering","Minor: Computer Science","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Often","Often","Often","Often","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Between 5 and 10 hours","Between 1 and 5 hours","Between 5 and 10 hours","Less than 1 hour","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"55","shamrock-rosemary",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,It helped build my computer science skills for my other interests","","Took AP Calculus AB","Junior","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Biological Sciences","Statistics and Data Science","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly agree","Rarely","Sometimes","Often","Often","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly disagree","Strongly agree","Between 1 and 5 hours","Between 1 and 2 hours","Between 1 and 5 hours","Less than 1 hour","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree"
"56","silver-courgette",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science,A teacher or other mentor encouraged me to","","Took AP Calculus AB,Took other AP courses","First Year","","I might or might not declare a CS major","I might or might not declare a CS Minor",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat disagree","Rarely","Often","Often","Rarely","Somewhat disagree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly disagree","Somewhat disagree","Somewhat agree","Between 1 and 5 hours","Less than 1 hour","Between 1 and 5 hours","Less than 1 hour","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree"
"57","sunglow-grape",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor","","Took AP Calculus AB,Took AP Calculus BC,Took other AP courses,Took part in student groups related to computer science","Other (Please specify)","2025J","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Statistical and Data Sciences","Government or Environmental Science & Policy","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Rarely","Often","Often","Rarely","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Between 1 and 5 hours","Between 1 and 2 hours","Between 5 and 10 hours","Between 1 and 2 hours","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree"
"58","tan-pomegranate",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science,My parents encouraged me to,A teacher or other mentor encouraged me to,It helped build my computer science skills for my other interests","","Took a computer science or programming course not associated with AP or dual enrollment","Sophomore","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Biological Sciences","Anticipating declaring a minor in Data and Statistical Sciences","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly disagree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Rarely","Always","Often","Sometimes","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly disagree","Somewhat disagree","Somewhat agree","Between 5 and 10 hours","Between 1 and 5 hours","Between 5 and 10 hours","Less than 1 hour","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Strongly agree"
"59","timberwolf-rosemary",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science,It helped build my computer science skills for my other interests","","Took AP Calculus AB,Took other AP courses","Senior","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Government",NA,"Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Rarely","Sometimes","Often","Sometimes","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Between 1 and 5 hours","Less than 1 hour","Between 1 and 5 hours","Less than 1 hour","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree"
"60","violet-jackfruit",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","Took other dual enrollment courses,Took a computer science or programming course not associated with AP or dual enrollment,Completed an online course related to computer science or programming (e.g., MOOC)","First Year","","I might or might not declare a CS major","I might or might not declare a CS Minor","Biology","Biochemistry, Music, Studio Art","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Rarely","Always","Rarely","Always","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly disagree","Somewhat agree","Strongly agree","More than 10 hours","Between 1 and 2 hours","More than 10 hours","Between 1 and 2 hours","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Strongly agree"
"61","yellow-clementine",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","Took AP Calculus BC","First Year","","I lean towards NOT Declaring a CS Major","I lean towards NOT Declaring a CS Minor",NA,NA,"Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Rarely","Often","Often","Sometimes","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Between 1 and 2 hours","Less than 1 hour","Between 1 and 5 hours","Less than 1 hour","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree"
"62","yellow-nut",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science,Other (specify in the text area)","My brother did it and enjoyed it, and we are similar so I thought I might, too.","","First Year","","I might or might not declare a CS major","I might or might not declare a CS Minor",NA,NA,"Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat disagree","Strongly agree","Rarely","Rarely","Sometimes","Never","Somewhat agree","Somewhat agree","Strongly disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly disagree","Somewhat agree","Strongly agree","Between 1 and 5 hours","Less than 1 hour","Between 1 and 5 hours","Less than 1 hour","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Strongly agree"
"63","almond-scallion",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I do not agree to participate and will be excluded from the remainder of the questions.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64","asparagus-frisee",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science","","Took a computer science or programming course not associated with AP or dual enrollment","First Year","","I am sure that I will NOT Declare a CS Major","I lean towards NOT Declaring a CS Minor",NA,NA,"Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Sometimes","Often","Always","Often","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Between 1 and 5 hours","Between 1 and 2 hours","Between 5 and 10 hours","Between 1 and 2 hours","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree"
"65","black-olive",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","","Other (Please specify)","Diploma student (grad)","I am sure that I will NOT Declare a CS Major","I might or might not declare a CS Minor","Chemistry, English, Education Studies","my majors are all equal, NA","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Somewhat disagree","Somewhat disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Sometimes","Often","Often","Sometimes","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly disagree","Somewhat agree","Strongly agree","More than 10 hours","Between 1 and 2 hours","More than 10 hours","Between 1 and 2 hours","Strongly agree","Somewhat agree","Somewhat disagree","Strongly disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree"
"66","blush-frisee",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science,It helped build my computer science skills for my other interests","","Took other AP courses,Took a computer science or programming course not associated with AP or dual enrollment,Completed an online course related to computer science or programming (e.g., MOOC),Learned a computer programming language on my own,Engaged in software or hardware related projects,Took part in student groups related to computer science,Attended a workshop or other training in computer science (e.g., through your local library, community center, etc.)","Junior","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","SDS","PSY","Somewhat agree","Somewhat agree","Strongly disagree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Somewhat disagree","Strongly disagree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Rarely","Often","Often","Sometimes","Somewhat disagree","Strongly agree","Strongly agree","Strongly disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly disagree","Strongly agree","Between 5 and 10 hours","Less than 1 hour","Between 5 and 10 hours","Less than 1 hour","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree"
"67","blush-quince",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I do not agree to participate and will be excluded from the remainder of the questions.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68","brown-jambul",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science,It helped build my computer science skills for my other interests","","Took AP Calculus AB,Took AP Calculus BC,Took other AP courses","Junior","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Mathematical Sciences","Jewish Studies minor and Archives concentration","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Sometimes","Sometimes","Sometimes","Often","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly agree","Between 1 and 2 hours","Less than 1 hour","Between 1 and 2 hours","Less than 1 hour","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree"
"69","brown-papaya",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science,It helped build my computer science skills for my other interests","","Took other AP courses,Completed an online course related to computer science or programming (e.g., MOOC),Learned a computer programming language on my own","First Year","","I might or might not declare a CS major","I lean towards NOT Declaring a CS Minor",NA,NA,"Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly disagree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Strongly agree","Often","Sometimes","Often","Sometimes","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Between 1 and 5 hours","Less than 1 hour","Between 1 and 2 hours","Less than 1 hour","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree"
"70","chestnut-chayote",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It helped build my computer science skills for my other interests","","Took AP Calculus AB","Senior","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Quantitative Economics","Psychology","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Sometimes","Often","Always","Often","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Between 1 and 5 hours","Between 1 and 2 hours","Between 5 and 10 hours","Between 1 and 2 hours","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree"
"71","dandelion-apricot",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science,My parents encouraged me to,It helped build my computer science skills for my other interests","","","Sophomore","","I am sure that I will NOT Declare a CS Major","I lean towards NOT Declaring a CS Minor","Chemistry","","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Strongly disagree","Somewhat agree","Strongly agree","Somewhat agree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Never","Often","Often","Sometimes","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Between 5 and 10 hours","Between 1 and 2 hours","Between 5 and 10 hours","Less than 1 hour","Somewhat agree","Somewhat agree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Somewhat agree"
